Linux 6.2.0-36-generic (alexey-ubuntu) 	20.11.2023 	_x86_64_	(8 CPU)

00:08:27      UID       PID   cswch/s nvcswch/s  Command
00:08:54        0    240814      0,00  54982,18  stress-ng
00:08:54        0    240815      0,00  18456,44  stress-ng
00:08:54        0    240816      0,00  45655,45  stress-ng
00:08:54        0    240817      0,00  53179,21  stress-ng
00:08:54        0    240818      0,00  65021,78  stress-ng
00:08:54        0    240819      0,00  50140,59  stress-ng
00:08:54        0    240820      0,00  52193,07  stress-ng

00:08:54      UID       PID   cswch/s nvcswch/s  Command
00:08:55        0    240803      9,90      0,00  stress-ng
00:08:55        0    240804      9,90      0,00  stress-ng
00:08:55        0    240805      0,00  25478,22  stress-ng
00:08:55        0    240806      0,00  26663,37  stress-ng
00:08:55        0    240807      0,00  10108,91  stress-ng
00:08:55        0    240808      0,00  30427,72  stress-ng
