Linux 6.2.0-36-generic (alexey-ubuntu) 	19.11.2023 	_x86_64_	(8 CPU)

23:26:39      UID       PID prio policy  Command
23:33:32        0    233911    0 DEADLN  stress-ng
23:33:33        0    233911    0 DEADLN  stress-ng
23:33:34        0    233911    0 DEADLN  stress-ng
23:33:35        0    233911    0 DEADLN  stress-ng
23:33:36        0    233911    0 DEADLN  stress-ng
23:33:37        0    233911    0 DEADLN  stress-ng
23:33:38        0    233911    0 DEADLN  stress-ng
23:33:39        0    233911    0 DEADLN  stress-ng
23:33:40        0    233911    0 DEADLN  stress-ng
23:33:41        0    233911    0 DEADLN  stress-ng
23:33:42        0    233911    0 DEADLN  stress-ng
23:33:43        0    233911    0 DEADLN  stress-ng
23:33:44        0    233911    0 DEADLN  stress-ng
23:33:45        0    233911    0 DEADLN  stress-ng
23:33:46        0    233911    0 DEADLN  stress-ng
23:33:47        0    233911    0 DEADLN  stress-ng
23:33:48        0    233911    0 DEADLN  stress-ng
23:33:49        0    233911    0 DEADLN  stress-ng
23:33:50        0    233911    0 DEADLN  stress-ng
23:33:51        0    233911    0 DEADLN  stress-ng
23:33:52        0    233911    0 DEADLN  stress-ng
23:33:53        0    233911    0 DEADLN  stress-ng
23:33:54        0    233911    0 DEADLN  stress-ng
23:33:55        0    233911    0 DEADLN  stress-ng
23:33:56        0    233911    0 DEADLN  stress-ng
23:33:57        0    233911    0 DEADLN  stress-ng
23:33:58        0    233911    0 DEADLN  stress-ng
23:33:59        0    233911    0 DEADLN  stress-ng
23:34:00        0    233911    0 DEADLN  stress-ng
23:34:01        0    233911    0 DEADLN  stress-ng
23:34:02        0    233911    0 DEADLN  stress-ng
23:34:03        0    233911    0 DEADLN  stress-ng
23:34:04        0    233911    0 DEADLN  stress-ng
23:34:05        0    233911    0 DEADLN  stress-ng
23:34:06        0    233911    0 DEADLN  stress-ng
23:34:07        0    233911    0 DEADLN  stress-ng
23:34:09        0    233911    0 DEADLN  stress-ng
23:34:10        0    233911    0 DEADLN  stress-ng
23:34:11        0    233911    0 DEADLN  stress-ng
23:34:12        0    233911    0 DEADLN  stress-ng
23:34:13        0    233911    0 DEADLN  stress-ng
23:34:14        0    233911    0 DEADLN  stress-ng
23:34:15        0    233911    0 DEADLN  stress-ng
23:34:16        0    233911    0 DEADLN  stress-ng
23:34:17        0    233911    0 DEADLN  stress-ng
23:34:18        0    233911    0 DEADLN  stress-ng
23:34:19        0    233911    0 DEADLN  stress-ng
23:34:20        0    233911    0 DEADLN  stress-ng
23:34:21        0    233911    0   IDLE  stress-ng
23:34:22        0    233911    0 DEADLN  stress-ng
23:34:23        0    233911    0 DEADLN  stress-ng
23:34:24        0    233911    0 DEADLN  stress-ng
23:34:25        0    233911    0 DEADLN  stress-ng
23:34:26        0    233911    0 DEADLN  stress-ng
23:34:27        0    233911    0 DEADLN  stress-ng
23:34:28        0    233911    0 DEADLN  stress-ng
23:34:29        0    233911    0 DEADLN  stress-ng
23:34:30        0    233911    0 DEADLN  stress-ng
23:34:31        0    233911    0 DEADLN  stress-ng
23:34:32        0    233911    0 DEADLN  stress-ng
23:34:33        0    233911    0 DEADLN  stress-ng
23:34:34        0    233911    0 DEADLN  stress-ng
23:34:35        0    233911    0 DEADLN  stress-ng
23:34:36        0    233911    0 DEADLN  stress-ng
23:34:37        0    233911    0 DEADLN  stress-ng
23:34:38        0    233911    0 DEADLN  stress-ng
23:34:39        0    233911    0 DEADLN  stress-ng
23:34:40        0    233911    0 DEADLN  stress-ng
23:34:41        0    233911    0 DEADLN  stress-ng
23:34:42        0    233911    0 DEADLN  stress-ng
23:34:43        0    233911    0 DEADLN  stress-ng
23:34:44        0    233911    0 DEADLN  stress-ng
23:34:45        0    233911    0 DEADLN  stress-ng
23:34:46        0    233911    0   IDLE  stress-ng
23:34:47        0    233911    0 DEADLN  stress-ng
23:34:48        0    233911    0 DEADLN  stress-ng
23:34:49        0    233911    0 DEADLN  stress-ng
23:34:50        0    233911    0 DEADLN  stress-ng
23:34:51        0    233911    0 DEADLN  stress-ng
23:34:52        0    233911    0 DEADLN  stress-ng
23:34:53        0    233911    0 DEADLN  stress-ng
23:34:54        0    233911    0 DEADLN  stress-ng
23:34:55        0    233911    0 DEADLN  stress-ng
23:34:56        0    233911    0 DEADLN  stress-ng
23:34:57        0    233911    0 DEADLN  stress-ng
23:34:58        0    233911    0 DEADLN  stress-ng
23:34:59        0    233911    0 DEADLN  stress-ng
23:35:00        0    233911    0 DEADLN  stress-ng
23:35:01        0    233911    0 DEADLN  stress-ng
23:35:02        0    233911    0 DEADLN  stress-ng
23:35:03        0    233911    0 DEADLN  stress-ng
23:35:04        0    233911    0 DEADLN  stress-ng
23:35:05        0    233911    0 DEADLN  stress-ng
