pipe;bogo_ops;real_time;usr_time;sys_time;bogo_ops/s_real;bogo_ops/s_user+sys;CPU_used_per
4780000;4780000;3.41;6.60;15.13;1400056.58;219972.39;159.12
4790000;4790000;3.64;6.61;15.86;1317205.59;213173.12;154.48
4800000;4800000;3.91;6.41;16.46;1228573.47;209881.94;146.34
4810000;4810000;3.46;6.58;15.41;1389915.64;218735.79;158.86
4820000;4820000;3.42;6.34;15.31;1409776.15;222632.79;158.31
4830000;4830000;3.33;6.85;14.62;1450088.90;224965.07;161.15
4840000;4840000;3.43;7.32;14.66;1411924.56;220200.18;160.30
4850000;4850000;3.44;6.97;14.93;1410163.81;221461.19;159.19
4860000;4860000;3.46;6.82;15.12;1402624.12;221513.22;158.30
4870000;4870000;3.38;6.60;15.30;1439405.29;222374.43;161.82
4880000;4880000;3.88;6.30;16.61;1256356.84;213007.42;147.45
4890000;4890000;3.63;6.63;15.88;1348386.25;217236.78;155.17
4900000;4900000;3.37;6.93;14.90;1453618.28;224461.75;161.90
4910000;4910000;3.37;6.56;15.27;1456350.59;224919.84;161.87
4920000;4920000;4.10;7.14;17.09;1200083.35;203054.07;147.75
4930000;4930000;3.59;6.95;15.65;1375067.05;218141.59;157.59
4940000;4940000;3.42;7.24;14.82;1443002.19;223934.72;161.10
4950000;4950000;3.45;6.85;15.31;1433096.83;223375.45;160.39
4960000;4960000;4.01;6.35;17.27;1235530.71;209991.53;147.09
4970000;4970000;3.66;6.87;15.84;1359698.89;218846.32;155.33
4980000;4980000;3.64;6.80;16.05;1369921.59;217943.11;157.14
4990000;4990000;3.51;7.05;15.46;1421401.98;221679.25;160.30
5000000;5000000;3.53;6.90;15.80;1417139.06;220264.32;160.85
5010000;5010000;3.66;7.04;15.78;1368973.17;219544.26;155.89
5020000;5020000;3.50;7.14;15.35;1434842.72;223210.32;160.71
5030000;5030000;3.45;6.91;15.50;1455982.75;224453.37;162.17
5040000;5040000;4.00;6.62;17.12;1260092.85;212299.92;148.39
5050000;5050000;3.84;6.68;16.82;1316154.82;214893.62;153.12
5060000;5060000;3.63;7.12;15.90;1392412.44;219808.86;158.37
5070000;5070000;3.65;7.17;15.83;1388774.97;220434.78;157.50
5080000;5080000;3.63;7.23;15.71;1399605.31;221447.25;158.01
5090000;5090000;3.62;7.12;15.92;1405286.12;220920.14;159.03
5100000;5100000;3.60;7.05;15.88;1415349.24;222416.05;159.09
5110000;5110000;3.55;7.07;15.85;1438620.84;222949.39;161.32
5120000;5120000;4.17;6.81;17.67;1227950.73;209150.33;146.78
5130000;5130000;3.75;7.04;16.35;1369406.27;219324.50;156.09
5140000;5140000;3.61;7.20;15.92;1422300.13;222318.34;159.94
5150000;5150000;3.58;7.31;15.68;1440007.80;224010.44;160.71
5160000;5160000;3.57;7.01;16.15;1444905.83;222797.93;162.13
5170000;5170000;3.88;6.78;16.81;1333630.49;219160.66;152.13
